Data,Light Vehicle Sales,Light Vehicle Sales,Light Vehicle Sales,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,Technology Market Shares,"Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million","Light Duty Vehicle Stock, million"
Size,LDV,Light truck,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Car,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck,Light truck
Year,Total LDV Sales,Size market share,Size market share,Gasoline ICE,EV100,EV200,E85 FFV,Diesel ICE,CNG,SI HEV on Gas,SI HEV on E85/H2,Diesel HEV,SI PHEV 10,SI PHEV 40,Diesel PHEV,FCV,Gasoline ICE,EV100,EV200,E85 FFV,Diesel ICE,CNG,SI HEV on Gas,SI HEV on E85/H2,Diesel HEV,SI PHEV 10,SI PHEV 40,Diesel PHEV,FCV,Gasoline ICE,EV100,EV200,E85 FFV,Diesel ICE,CNG,SI HEV on Gas,SI HEV on E85/H2,Diesel HEV,SI PHEV 10,SI PHEV 40,Diesel PHEV,FCV,Total,Gasoline ICE,EV100,EV200,E85 FFV,Diesel ICE,CNG,SI HEV on Gas,SI HEV on E85/H2,Diesel HEV,SI PHEV 10,SI PHEV 40,Diesel PHEV,FCV,Total
1970,9867000,0.148272018,0.851727982,0.9997,0,0,0,0.0003,0,0,0,0,0,0,0,0,0.998,0,0,0,0.002,0,0,0,0,0,0,0,0,92.067655,0,0,0,0,0,0,0,0,0,0,0,0,92.067655,14.210591,0,0,0,0,0,0,0,0,0,0,0,0,14.210591
1971,12006000,0.146343495,0.853656505,0.9994,0,0,0,0.0006,0,0,0,0,0,0,0,0,0.998,0,0,0,0.002,0,0,0,0,0,0,0,0,96.06209,0,0,0,0,0,0,0,0,0,0,0,0,96.06209,15.181346,0,0,0,0,0,0,0,0,0,0,0,0,15.181346
1972,13189000,0.169762681,0.830237319,0.9995,0,0,0,0.0005,0,0,0,0,0,0,0,0,0.998,0,0,0,0.002,0,0,0,0,0,0,0,0,100.841939,0,0,0,0,0,0,0,0,0,0,0,0,100.841939,16.428271,0,0,0,0,0,0,0,0,0,0,0,0,16.428271
1973,14184000,0.193527919,0.806472081,0.9994,0,0,0,0.0006,0,0,0,0,0,0,0,0,0.9975,0,0,0,0.0025,0,0,0,0,0,0,0,0,106.356453,0,0,0,0,0,0,0,0,0,0,0,0,106.356453,18.083499,0,0,0,0,0,0,0,0,0,0,0,0,18.083499
1974,11191000,0.20891788,0.79108212,0.998,0,0,0,0.002,0,0,0,0,0,0,0,0,0.997,0,0,0,0.003,0,0,0,0,0,0,0,0,109.82274,0,0,0,0,0,0,0,0,0,0,0,0,109.82274,19.334681,0,0,0,0,0,0,0,0,0,0,0,0,19.334681
1975,10905000,0.209170105,0.790829895,0.9969,0,0,0,0.0031,0,0,0,0,0,0,0,0,0.996,0,0,0,0.004,0,0,0,0,0,0,0,0,111.670004,0,0,0,0,0,0,0,0,0,0,0,0,111.670004,20.41825,0,0,0,0,0,0,0,0,0,0,0,0,20.41825
1976,13066000,0.226236032,0.773763968,0.9978,0,0,0,0.0022,0,0,0,0,0,0,0,0,0.996,0,0,0,0.004,0,0,0,0,0,0,0,0,115.121972,0,0,0,0,0,0,0,0,0,0,0,0,115.121972,22.30074,0,0,0,0,0,0,0,0,0,0,0,0,22.30074
1977,14613000,0.234722507,0.765277493,0.9966,0,0,0,0.0034,0,0,0,0,0,0,0,0,0.996,0,0,0,0.004,0,0,0,0,0,0,0,0,117.220778,0,0,0,0,0,0,0,0,0,0,0,0,117.220778,23.624382,0,0,0,0,0,0,0,0,0,0,0,0,23.624382
